Treat,Indi,Date,Wt,wtChng,j.date,Day
L,L10,21-Aug,1.418,-0.753,234,12
W,W01,15-Jul,5.368,NA,197,1
W,W01,18-Jul,3.51,-1.858,200,4
W,W01,19-Jul,3,-0.51,201,5
W,W02,25-Jul,4.063,NA,207,1
W,W02,28-Jul,3.443,-0.62,210,4
W,W03,25-Jul,4.411,NA,207,1
W,W03,28-Jul,3.689,-0.722,210,4
W,W04,29-Jul,3.138,NA,211,1
W,W04,1-Aug,2.866,-0.272,214,4
W,W04,3-Aug,2.824,-0.042,216,6
W,W05,30-Jul,3.248,NA,212,1
W,W05,2-Aug,2.744,-0.504,215,4
W,W06,30-Jul,2.833,NA,212,1
W,W06,2-Aug,2.878,0.045,215,4
W,W06,3-Aug,2.633,-0.245,216,5
W,W07,3-Aug,3.329,NA,216,1
W,W07,6-Aug,2.682,-0.647,219,4
W,W08,4-Aug,4.655,NA,217,1
W,W08,7-Aug,4.426,-0.229,220,4
W,W08,9-Aug,3.091,-1.335,222,6
